Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Creative 9 Photography,Meerut,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/creativenine/?hl=en,https://www.facebook.com/Creative-9-Photography-488231988178506/,
Bhardwaj Films,Meerut,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/bhardwajphotostudio/,
Anand Dutta Photography,Meerut,No Reviews,Photo + Video,"80,000",per day,None,,,https://www.instagram.com/anand.dutta.7587/?hl=en,https://www.facebook.com/anandduttaphotography/,
A.K Photography,Meerut,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/akphotographstudio/?hl=en,https://www.facebook.com/AKPhotographyStudio/,
J.P Studio,Meerut,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/jpsstudio/?hl=en,https://www.facebook.com/jpstudiobangalore/,
Poornima Studio,Meerut,No Reviews,Photo + Video,"41,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/Poornima-Studio-1408947432556902/,
Pari Photo Studio,Meerut,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/rinkumathur198/,
Studio Kumar,Meerut,No Reviews,Photo + Video,"55,000",per day,None,,,https://www.instagram.com/studio.mikukumar/?hl=en,https://www.facebook.com/Studio-Kumar-256297557860911/,
Rajesh Digital Photo & Video,Meerut,No Reviews,Photo + Video,"47,000",per day,None,,,https://www.instagram.com/rajeshdigital/?hl=en,https://www.facebook.com/pages/category/Photographer/Rajesh-digital-studio-color-lab-883591251736766/,
Long Skirt Photography,Meerut,No Reviews,Photo Package,"50,000",per day,None,,,None,None,
Kuber Photography,Meerut,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/thekuber/?hl=en,https://www.facebook.com/kuberphotographers/,
Studio Shooting Hub,Meerut,No Reviews,Photo + Video,"1,20,000",per day,None,,,None,https://www.facebook.com/Studio-shooting-HUB-558164404629703/videos/,
Raghuvanshi Studio,Meerut,No Reviews,Photo + Video,"1,00,000",per day,None,,,https://www.instagram.com/raghuvanshi_studio/?hl=en,https://www.facebook.com/Raghuvanshi-Studio-673823305999194/,
Om Gayatri Digital Studio,Meerut,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/gayatridigitalstudiosurat/,
Kashmir Studio,Meerut,No Reviews,Photo + Video,"55,000",per day,None,,,https://www.instagram.com/kashmir_studio/?hl=en,https://www.facebook.com/Kashmir-Studio-Cinematography-Candid-Photography-1453950734838090/,
Madhuri Digital Studio,Meerut,No Reviews,Photo + Video,"43,000",per day,None,,,None,https://www.facebook.com/MadhuriDigitalStudio/,
R.K. Studio,Meerut,No Reviews,Photo + Video,"40,000",per day,None,,,None,None,
Amaansh Photography,Meerut,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/amaansh__amanshukla/?hl=en,https://www.facebook.com/pages/category/Photographer/Amaansh-102401671302310/,
Meraki Studio,Meerut,No Reviews,Photo + Video,"30,000",per day,None,,,https://www.instagram.com/danielafsrodrigues/?hl=en,https://www.facebook.com/merakistudioahmedabad/,
Studio One,Meerut,No Reviews,Photo + Video,"30,000",per day,None,,,None,None,
