Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Creative Wedding Movie,5,Rakabganj,1 review,Photo + Video,"55,000",per day,,,None,https://www.facebook.com/pages/category/Photography-Videography/Creative-Wedding-Movie-107752840579735/,
Veer Gurjar Studios,5,Sikandra,10 reviews,Photo + Video,"65,000",per day,,,None,https://www.facebook.com/VeerGurjarStudios/,
Candid Photography Lucky Film's,4.9,Rakabganj,12 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/lucky_film_idar/?hl=en,https://www.facebook.com/luckyfilms1986/,
Filmphic Productions,5,Sikandra,8 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/filmphic_productions/,https://www.facebook.com/Filmphic/,
Wedlock Productions,5,Civil Lines,7 reviews,Photo + Video,"75,000",per day,,,https://www.instagram.com/wedlockphotographyofficial/?hl=en,https://www.facebook.com/wedlockProductions/,
Photo Production,4.8,Agra,6 reviews,Photo + Video,"55,000",per day,,,https://www.instagram.com/pphprahran/?hl=en,None,
Kuldeep Digital Photo Studio,4.5,Agra,1 review,Photo + Video,"35,000",per day,,,None,https://www.facebook.com/kdpsagra/,
Studio Next,5,Civil Lines,4 reviews,Photo + Video,"80,000",per day,,,https://www.instagram.com/spnstudionext/?hl=en,https://www.facebook.com/SPNStudioNext/,
Rishi Singh Photography,5,Lohamandi,14 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/official_rishi_singh_/,https://www.facebook.com/Rishisinghphotography/,
Friend's Video,4.8,Civil Lines,6 reviews,Photo + Video,"30,000",per day,,,None,None,
Rathi Studio,4.7,Trans Yamuna Colony,6 reviews,Photo + Video,"40,000",per day,,,https://www.instagram.com/rathistudio/?hl=en,https://www.facebook.com/rathistudiochennai/,
Yash Digital Studio,5,Tajganj,1 review,Photo + Video,"55,000",per day,,,https://www.instagram.com/yash_digital_studio__/,https://www.facebook.com/pages/category/Movie---Music-Store/Yash-digital-studio-870470843082031/,
SSD Studio,5,Kamla Nagar,1 review,Photo + Video,"40,000",per day,,,None,https://www.facebook.com/SSDStudioAgra/,
Manish Official Photography,4.5,Trans Yamuna Colony,1 review,Photo + Video,"60,000",per day,,,https://www.instagram.com/manishofficialphotography/?hl=en,https://www.facebook.com/manishphotograph/,
Rudrapixles,5,Agra,6 reviews,Photo + Video,"45,000",per day,,,https://www.instagram.com/rudrapixles2/,https://www.facebook.com/pages/category/Album/Rudrapixles-Photography-108298360944613/,
Jatin Mittal Photography,5,Trans Yamuna Colony,5 reviews,Photo + Video,"60,000",per day,,,https://www.instagram.com/jatinmittalphotography.com_/,https://www.facebook.com/jatin.mittal.756412,
R.K. Studio & Movies,5,Civil Lines,1 review,Photo + Video,"35,000",per day,,,None,None,
Shoot My Wedding,5,Rakabganj,6 reviews,Photo + Video,"75,000",per day,,,None,None,
Cinestory Wedding Films,5,Trans Yamuna Colony,1 review,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/pages/category/Photography-Videography/Cine-story-wedding-films-113456236980630/,
PicsAura Studio,4.9,Kamla Nagar,15 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/picsaura/,
Rishab Video Vision,5,Rakabganj,1 review,Photo + Video,"47,000",per day,,,None,https://www.facebook.com/pages/category/Product-Service/Rishab-Video-Vision-106826264061052/,
