Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Imagewale,4.5,Danapur,3 reviews,Photo + Video,"30,000",per day,,,https://www.instagram.com/imagewale/?hl=en,https://www.facebook.com/Imagewale/,
Moments Studio,5.0,Patna,1 review,Photo + Video,"65,000",per day,,,https://www.instagram.com/moments1studio/?hl=en,https://www.facebook.com/pages/category/Local-Business/Moments-Studio-103732102073/,
The Focus Click,5.0,Gardanibagh,4 reviews,Photo + Video,"35,000",per day,,,https://www.instagram.com/thefocusclick/?hl=en,https://www.facebook.com/thefocusclick/,
Destello Studio,5.0,Kidwaipuri,1 review,Photo + Video,"55,000",per day,,,https://www.instagram.com/destellostudio/,https://www.facebook.com/destellostudios/,
Shubhchin Films,5.0,Gardanibagh,6 reviews,Photo + Video,"65,000",per day,,,None,https://www.facebook.com/shubhchinfilms2020/,
Imagina Filmworks,5.0,Patna,8 reviews,Photo + Video,"70,000",per day,,,https://www.instagram.com/imagina_filmworks/?hl=en,https://www.facebook.com/imaginafilmworks/,
Photo Prism Eye Photography,4.8,Patliputra Colony,3 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/monukumarphotographer/,
UniQue PhotoGraphy By Sonam Singh,5.0,Rukanpura,4 reviews,Photo + Video,"30,000",per day,,,None,https://www.facebook.com/uniquephotography.no1/,
Rajesh Moment Creations,5.0,Rukanpura,1 review,Photo + Video,"1,20,000",per day,,,https://www.instagram.com/darkchamberstudio/?hl=en,https://www.facebook.com/pages/category/Photography-Videography/Rajesh-Moment-Creations-103657031760204/,
Red Pixel,5.0,Patna,3 reviews,Photo + Video,"50,000",per day,,,None,None,
Shobha Video Films,5.0,Patna,4 reviews,Photo + Video,"50,000",per day,,,None,None,
STUDIO 89,5.0,Sadikpur,1 review,Photo + Video,"45,000",per day,,,https://www.instagram.com/studiooo89/?hl=en,https://www.facebook.com/Studiooo89/,
Fotovision,4.4,Patna,8 reviews,Photo + Video,"1,25,000",per day,,,https://www.instagram.com/fotovisionindia/?hl=en,https://www.facebook.com/indiafotovision/,
Toshiyas Studio,5.0,Kankarbagh,1 review,Photo + Video,"55,000",per day,,,https://www.instagram.com/toshiyabetty/?hl=en,https://www.facebook.com/Toshiyastudio/,
S&S Wedding Film,5.0,Gardanibagh,1 review,Photo + Video,"35,000",per day,,,https://www.instagram.com/s/,None,
Fotoframe Studio,5.0,Patliputra Colony,5 reviews,Photo + Video,"65,000",per day,,,None,None,
Maa Radhika Films,5.0,Bakarganj,1 review,Photo + Video,"55,000",per day,,,https://www.instagram.com/maaradhikafilms/,None,
OutlooK Photography & StuDio,5.0,Danapur,1 review,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/outlookawesome/,
Niraj Digital Studio,4.5,Rukanpura,1 review,Photo + Video,"35,000",per day,,,None,None,
Wedding Moments Studio,5.0,Danapur,3 reviews,Photo Package,"20,000",per day,,,https://www.instagram.com/weddingmomentsstudio/,https://www.facebook.com/theweddingmoments.in/,
Lucky Paul Photography,5.0,Kankarbagh,7 reviews,Photo + Video,"65,000",per day,,,https://www.instagram.com/luckypaul.co/,None,
Happy Stories Studio,4.9,Rajendra Nagar,11 reviews,Photo + Video,"85,000",per day,,,https://www.instagram.com/happystoriesstudio/?hl=en,https://www.facebook.com/happystoriesstudio/,
Wiggle Studio,5.0,Kidwaipuri,3 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/wigglestudio/?hl=en,https://www.facebook.com/wigglestudio/,
Weddingpur,5.0,Fraser Road Area,3 reviews,Photo + Video,"65,000",per day,,,https://www.instagram.com/weddingpur/?hl=en,https://www.facebook.com/weddingpur/,
The Bluemoon Picture,5.0,Fraser Road Area,2 reviews,Photo + Video,"50,000",per day,,,None,None,
Raj Kashyap Photography,5.0,Bakarganj,2 reviews,Photo + Video,"85,000",per day,,,None,https://www.facebook.com/rajkashyapphotography/,
