Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Anil's Photography,Seethammadara,No Reviews,Photo + Video,"34,000",per day,None,,,https://www.instagram.com/kumarbj.anil/?hl=en,https://www.facebook.com/anilsphotography1458/,
Candid Photography Vizag,Visakhapatnam,No Reviews,Photo + Video,"28,000",per day,None,,,None,https://www.facebook.com/candidphotography.vizag/,
Sri Anand Digital Express,Visakhapatnam,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/ShriAnandDigitalStudio/,
Suri Digital Images,Seethammadara,No Reviews,Photo + Video,"34,000",per day,None,,,None,https://www.facebook.com/SuriPhotography.digital/,
Sairam Photography,Dwaraka Nagar,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/sairamphotographyy/,https://www.facebook.com/pages/category/Photography-Videography/Sairam-Photography-2782706535136128/,
Pranay Photography,Bheemili,No Reviews,Photo + Video,"65,000",per day,None,,,https://www.instagram.com/pranay.photography/?hl=en,https://www.facebook.com/apranayphotography/,
Pk Photography,Simhachalam,No Reviews,Photo + Video,"70,000",per day,None,,,https://www.instagram.com/pk.photo.graphy/?hl=en,https://www.facebook.com/pkpiyushpk/,
Kriya Events and Photography,4.2,Asilmetta,6 reviews,Photo + Video,"82,000",per day,,,https://www.instagram.com/kriya.events/?hl=en,https://www.facebook.com/kriyaevent/,
Alpha PhotoGraphey,Gajuwaka,No Reviews,Photo + Video,"31,000",per day,None,,,https://www.instagram.com/alphaphotography.be/?hl=en,https://www.facebook.com/alphaphotographyhk/,
Sindu Studio,Visakhapatnam,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/sindustudio/?hl=en,https://www.facebook.com/sinduStudio/,
Red Antz Studios,Maddilapalem,No Reviews,Photo + Video,"90,000",per day,None,,,https://www.instagram.com/redantzstudios/?hl=en,https://www.facebook.com/redantzzstudios/,
Shadi Showcase,Gajuwaka,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/DreamShaadiEvents/,
Tarangani Video,Ram Nagar,No Reviews,Photo + Video,"40,000",per day,None,,,None,None,
Aurora Photography,Akkayyapalem,No Reviews,Photo + Video,"33,000",per day,None,,,None,None,
Image Art Photography,MVP Colony,No Reviews,Photo + Video,"75,000",per day,None,,,None,https://www.facebook.com/ImageArtPhotography.Vizag/,
KKC Photography,Visakhapatnam,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/kkc.photography/?hl=en,https://www.facebook.com/Studiokkcgraphicproduction/,
Picart Photography,Visakhapatnam,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/picart.p/,https://www.facebook.com/pages/category/Photographer/PicArt-Photography-1701062516853654/,
Raju Videos,Visakhapatnam,No Reviews,Photo + Video,"42,500",per day,None,,,None,None,
