Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
The Wedding Safari,5.0,Rajkot,6 reviews,Photo + Video,"1,00,000",per day,,,None,https://www.facebook.com/Theweddingsafari/,
Devansh Digital Photography,4.8,Rajkot,2 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/devanshdigital/,
Yogi Photography,5.0,Rajkot,2 reviews,Photo + Video,"35,000",per day,,,https://www.instagram.com/mr_macelin/,https://www.facebook.com/Yogiiphotography/,
Tasveer The Memories,5.0,Rajkot,6 reviews,Photo + Video,"45,000",per day,,,https://www.instagram.com/tasveer_the_memories/?hl=en,https://www.facebook.com/tasveerthememories/,
Faith Films,5.0,Rajkot,1 review,Photo + Video,"65,000",per day,,,None,None,
Studio Selfie Shot,5.0,Rajkot,1 review,Photo + Video,"50,000",per day,,,https://www.instagram.com/studio_selfie_shot/?hl=en,https://www.facebook.com/studioselfieshot/,
Photo Story,5.0,Rajkot,1 review,Photo + Video,"50,000",per day,,,None,None,
BJ Gandhi Candid Photography,5.0,Rajkot,2 reviews,Photo + Video,"75,000",per day,,,None,https://www.facebook.com/permalink.php?id=508166062573010&story_fbid=3339077952815126,
Chhabi Photography,4.8,Rajkot,3 reviews,Photo + Video,"1,40,000",per day,,,https://www.instagram.com/chhabiphotography/?hl=en,https://www.facebook.com/chhabiphotography/,
VB Photography,4.8,Rajkot,3 reviews,Photo + Video,"35,000",per day,,,https://www.instagram.com/vb_photography_rajkot/?hl=en,https://www.facebook.com/VBPhotographyRajkot/,
Pooja Mahindrakar Photography,Rajkot,No Reviews,None,On Request,None,None,,,https://www.instagram.com/pooja.mahindrakar/?hl=en,https://www.facebook.com/public/Pooja-Mahindrakar,
Wedding Life,Rajkot,No Reviews,Photo + Video,"35,000",per day,None,,,None,None,
Jay Trivedi Photography,Rajkot,No Reviews,Photo + Video,"31,000",per day,None,,,https://www.instagram.com/jaytrivedi55/?hl=en,https://www.facebook.com/pages/category/Artist/Jay-Trivedi-Photography-1517429821898147/,
Prabhat Studio,Rajkot,No Reviews,Photo + Video,"80,000",per day,None,,,None,None,
Artography,Rajkot,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/artography.studio/?hl=en,https://www.facebook.com/StudioArtography/,
VM Artografy,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/renji7180/,
Parth Likhiya Photography,Rajkot,No Reviews,Photo + Video,"25,000",per day,None,,,None,https://m.facebook.com/patidar.patel.1023,
AJ Photography,Rajkot,No Reviews,Photo + Video,"85,000",per day,None,,,https://www.instagram.com/ajphotographyservice/?hl=en,https://www.facebook.com/AJPhotographynadiad/,
Shutter Experts,Rajkot,No Reviews,Photo + Video,"70,000",per day,None,,,https://www.instagram.com/shutter__experts/,https://www.facebook.com/ShutterExpertsRjt/,
Sahajanand Digital Studio,Rajkot,No Reviews,Photo + Video,"40,000",per day,None,,,None,None,
Nijanand Digital,Rajkot,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/nijananddigitalstudio/?hl=en,https://www.facebook.com/nijananddigitalstudio/,
Om Studio,Rajkot,No Reviews,Photo + Video,"35,000",per day,None,,,None,https://www.facebook.com/Studio-OM-419805371426407/?ref=py_c,
Tirupati Studio,Rajkot,No Reviews,Photo + Video,"65,000",per day,None,,,None,https://www.facebook.com/tirupatistudio/,
